iter	Logloss
0	0.4020320093
1	0.2311338745
2	0.1348445432
3	0.08134921347
4	0.05031619437
5	0.03251253896
6	0.02210658671
7	0.01584518046
8	0.01187412809
9	0.009218586394
10	0.007453314309
11	0.006318407925
12	0.005407504521
13	0.004788849143
14	0.004297795673
15	0.003968709978
16	0.003703934028
17	0.003506798916
18	0.003327908353
19	0.003197050687
20	0.003080254403
21	0.002986511782
22	0.00290977959
23	0.002833968864
24	0.002793817952
25	0.002766974011
26	0.002699743483
27	0.002676541355
28	0.002626961543
29	0.002605058032
30	0.002531734321
31	0.002488559979
32	0.002456111086
33	0.002435699055
34	0.002425152071
35	0.002402185827
36	0.002361536566
37	0.002338103288
38	0.002304904346
39	0.002292482859
40	0.002281863078
41	0.002269763038
42	0.002256841379
43	0.002244938776
44	0.002211911955
45	0.002195805123
46	0.002184882177
47	0.002175231016
48	0.002157223025
49	0.002151805403
50	0.002136114932
51	0.002115963715
52	0.002089965111
53	0.002082360826
54	0.002067652246
55	0.002059747735
56	0.002041798672
57	0.002022891486
58	0.002016214565
59	0.001998423978
60	0.001989629328
61	0.001981249679
62	0.001959771167
63	0.001952176706
64	0.001948684411
65	0.001931115917
66	0.001923841907
67	0.001915259285
68	0.00190060662
69	0.001892029085
70	0.001885228248
71	0.001876537978
72	0.001869762002
73	0.001857409916
74	0.001851030337
75	0.001836740674
76	0.001828403651
77	0.001813386002
78	0.001789101903
79	0.001780083444
80	0.001770112684
81	0.001764933893
82	0.001761303266
83	0.001752662079
84	0.001748842101
85	0.001742459832
86	0.001727303481
87	0.001715058424
88	0.001702969698
89	0.001686827933
90	0.001682804071
91	0.001678328607
92	0.001672438337
93	0.001666647728
94	0.001650105194
95	0.00164228527
96	0.001637808221
97	0.001631752119
98	0.001626659245
99	0.001616025432
100	0.001611866386
101	0.001606779113
102	0.001599857381
103	0.001596832507
104	0.001583533896
105	0.001574065826
106	0.001568790988
107	0.001563859815
108	0.001559645067
109	0.00154336159
110	0.001535978808
111	0.001529866823
112	0.001526640903
113	0.001522190795
114	0.001512820848
115	0.001506431056
116	0.00150175545
117	0.001493613377
118	0.001489681539
119	0.001484284099
120	0.00147654266
121	0.001462519385
122	0.001458043445
123	0.001453723347
124	0.001442026758
125	0.001434973519
126	0.001431282417
127	0.001424877
128	0.001421653954
129	0.001417339931
130	0.001406048345
131	0.001400656115
132	0.001394504403
133	0.001388083373
134	0.001381181633
135	0.001378033558
136	0.001374516112
137	0.001370166433
138	0.001366477614
139	0.001359337034
140	0.001355804651
141	0.001352391958
142	0.00134835479
143	0.001344408216
144	0.001337320053
